pr_author_reviewer_race,pr_author_race,pr_reviewer_race,pr_notice_time,pr_review_time,pr_changed_files,pr_LOC,pr_review_commits,pr_review_comments,pr_commits,pr_same_ethnicity,repo_id,repo_stars,repo_create_time,repo_external_contribution,repo_team_size,user_followers,user_dev_time,user_experience,user_repo_experience,user_main_member,user_watched,user_succ_rate
White-API,White,API,4.02535169073515,0.0,0.0,1.0986122886681098,1,0,2,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,1.6094379124341003,2.115068493150685,29.009999999999998,21.0,0,1,0.448121337469838
White-API,White,API,3.1780538303479458,0.0,1.3862943611198906,4.442651256490317,0,0,1,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,5.564520407322694,8.931506849315069,6.01,1.0,1,1,0.831946755407654
White-White,White,White,2.772588722239781,0.0,0.0,2.8903717578961645,1,0,2,1,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,5.564520407322694,8.931506849315069,6.01,1.0,1,1,0.831946755407654
White-API,White,API,0.0,0.0,0.6931471805599453,3.8918202981106265,0,0,1,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,7.121252453244542,10.076712328767123,14.01,14.0,1,1,0.8565310492505354
White-API,White,API,0.6931471805599453,0.0,0.0,1.6094379124341003,0,0,1,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,7.121252453244542,10.076712328767123,14.01,14.0,1,1,0.8565310492505354
White-API,White,API,5.1298987149230735,0.0,0.0,3.332204510175204,1,0,2,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,5.594711379601839,11.07945205479452,5.01,3.0,1,1,0.7984031936127745
API-White,API,White,0.0,1.9459101490553132,0.0,3.4011973816621555,0,0,1,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,4.04305126783455,7.032876712328767,32.01,0.0,1,1,0.9059668853483287
API-White,API,White,2.4849066497880004,0.6931471805599453,1.0986122886681098,6.008813185442595,1,0,3,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,4.04305126783455,7.032876712328767,32.01,0.0,1,1,0.9059668853483287
White-White,White,White,4.219507705176107,5.1298987149230735,1.3862943611198906,3.7612001156935624,5,1,6,1,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,0.6931471805599453,2.3917808219178083,0.01,0.0,0,0,0.0
White-API,White,API,3.258096538021482,0.6931471805599453,0.6931471805599453,4.007333185232471,0,0,1,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,5.209486152841421,7.531506849315068,14.01,13.0,1,0,0.6423982869379015
White-API,White,API,2.1972245773362196,2.995732273553991,1.791759469228055,4.23410650459726,0,0,1,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,7.121252453244542,10.076712328767123,14.01,14.0,1,1,0.8565310492505354
White-API,White,API,2.833213344056216,0.0,0.0,0.6931471805599453,0,0,1,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,4.204692619390966,7.4520547945205475,24.009999999999998,5.0,0,1,0.8329862557267805
White-API,White,API,4.219507705176107,0.0,0.0,0.6931471805599453,0,0,1,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,3.6109179126442243,7.501369863013698,3.01,2.0,1,0,0.9966777408637875
White-API,White,API,4.276666119016055,0.0,0.6931471805599453,2.9444389791664403,0,0,1,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,3.6109179126442243,7.501369863013698,3.01,2.0,1,0,0.9966777408637875
White-API,White,API,0.0,0.0,1.0986122886681098,2.8903717578961645,0,0,1,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,4.955827057601261,9.101369863013698,4.01,1.0,1,0,0.9975062344139651
White-API,White,API,0.0,0.0,0.0,0.6931471805599453,0,0,1,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,5.564520407322694,8.931506849315069,6.01,1.0,1,1,0.831946755407654
White-White,White,White,2.5649493574615367,4.553876891600541,1.0986122886681098,4.499809670330265,1,0,1,1,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,3.295836866004329,8.627397260273973,8.01,0.0,0,1,0.6242197253433208
White-White,White,White,0.0,0.0,0.0,1.3862943611198906,0,0,1,1,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,5.313205979041787,3.3095890410958906,38.01,8.0,1,0,0.7366482504604052
White-White,White,White,4.189654742026425,3.295836866004329,0.0,3.912023005428146,1,0,2,1,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,1.791759469228055,9.01095890410959,17.009999999999998,0.0,0,0,0.9994121105232218
White-API,White,API,1.6094379124341003,0.0,1.791759469228055,3.828641396489095,1,0,3,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,5.564520407322694,8.931506849315069,6.01,1.0,1,1,0.831946755407654
White-White,White,White,0.0,5.099866427824199,1.3862943611198906,6.484635235635252,2,1,3,1,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,6.118097198041348,6.147945205479452,4.01,3.0,1,1,0.7481296758104738
White-White,White,White,2.0794415416798357,0.0,1.6094379124341003,2.9444389791664403,0,0,1,1,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,6.173786103901937,9.991780821917809,9.01,2.0,1,0,0.7769145394006659
White-API,White,API,0.6931471805599453,1.9459101490553132,0.6931471805599453,3.044522437723423,1,0,2,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,7.1731917424865985,11.602739726027398,3.01,0.0,1,1,0.6644518272425249
White-White,White,White,0.0,4.189654742026425,0.6931471805599453,4.02535169073515,0,2,1,1,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,4.77912349311153,6.553424657534246,12.01,0.0,0,0,0.8326394671107411
API-White,API,White,0.0,0.0,1.0986122886681098,4.543294782270004,1,0,3,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,6.7650389767805414,10.106849315068493,16.009999999999998,12.0,1,0,0.9369144284821987
White-API,White,API,1.3862943611198906,0.0,0.0,0.6931471805599453,0,0,1,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,4.406719247264253,8.441095890410958,13.01,5.0,1,1,0.8455034588777863
White-API,White,API,1.9459101490553132,0.0,0.0,2.5649493574615367,0,1,1,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,4.406719247264253,8.441095890410958,13.01,5.0,1,1,0.8455034588777863
White-API,White,API,2.3978952727983707,0.0,0.6931471805599453,3.5263605246161616,1,0,2,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,4.406719247264253,8.441095890410958,13.01,5.0,1,1,0.8455034588777863
White-API,White,API,2.4849066497880004,0.0,0.6931471805599453,3.6888794541139363,1,1,2,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,4.406719247264253,8.441095890410958,13.01,5.0,1,1,0.8455034588777863
White-White,White,White,0.6931471805599453,0.0,0.0,0.6931471805599453,0,1,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,1.3862943611198906,2.0082191780821916,4.01,4.0,0,0,0.49875311720698257
White-White,White,White,0.0,0.0,3.4011973816621555,4.867534450455582,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,8.875985891325971,12.794520547945206,25.009999999999998,25.0,1,1,0.8796481407437026
White-White,White,White,3.1780538303479458,0.6931471805599453,2.70805020110221,5.187385805840755,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,9.085457189829492,8.454794520547946,56.01,40,1,1,0.9284056418496698
White-White,White,White,0.0,0.0,1.6094379124341003,3.9318256327243257,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,8.699848026000312,12.389041095890411,45.01,40,1,1,0.9997778271495223
White-White,White,White,0.0,0.0,0.6931471805599453,2.70805020110221,0,0,2,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,8.699848026000312,12.389041095890411,45.01,40,1,1,0.9997778271495223
White-White,White,White,0.0,0.0,0.0,0.6931471805599453,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,8.699848026000312,12.389041095890411,45.01,40,1,1,0.9997778271495223
White-White,White,White,0.0,0.0,1.3862943611198906,3.332204510175204,0,0,3,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,8.699848026000312,12.389041095890411,45.01,40,1,1,0.9997778271495223
White-White,White,White,0.0,2.9444389791664403,0.6931471805599453,0.6931471805599453,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,8.699848026000312,12.389041095890411,45.01,40,1,1,0.9997778271495223
White-White,White,White,0.0,1.0986122886681098,0.6931471805599453,2.4849066497880004,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,9.085457189829492,8.454794520547946,56.01,40,1,1,0.9284056418496698
White-White,White,White,0.0,2.4849066497880004,2.3978952727983707,4.605170185988092,0,1,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,9.085457189829492,8.454794520547946,56.01,40,1,1,0.9284056418496698
White-White,White,White,0.0,0.0,1.0986122886681098,2.6390573296152584,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,8.875985891325971,12.794520547945206,25.009999999999998,25.0,1,1,0.8796481407437026
White-White,White,White,0.0,0.0,2.1972245773362196,5.220355825078324,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,8.699848026000312,12.389041095890411,45.01,40,1,1,0.9997778271495223
White-White,White,White,1.6094379124341003,0.0,0.0,1.791759469228055,2,0,3,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,6.0014148779611505,6.241095890410959,32.01,1.0,0,1,0.781005935645111
White-White,White,White,4.060443010546419,5.003946305945459,1.3862943611198906,4.189654742026425,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,9.085457189829492,8.454794520547946,56.01,40,1,1,0.9284056418496698
White-White,White,White,0.0,0.0,2.772588722239781,4.812184355372417,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,6.876264611890766,8.846575342465753,52.01,35.0,1,0,0.5768121515093252
API-White,API,White,1.9459101490553132,0.0,0.0,2.5649493574615367,1,0,3,0,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,6.042632833682381,11.282191780821918,60,0.0,0,1,0.8635055294652326
White-White,White,White,0.0,0.0,0.6931471805599453,3.4011973816621555,2,0,3,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,9.085457189829492,8.454794520547946,56.01,40,1,1,0.9284056418496698
White-White,White,White,0.0,0.0,0.6931471805599453,1.3862943611198906,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,9.085457189829492,8.454794520547946,56.01,40,1,1,0.9284056418496698
White-White,White,White,1.791759469228055,0.0,0.6931471805599453,3.1780538303479458,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,8.875985891325971,12.794520547945206,25.009999999999998,25.0,1,1,0.8796481407437026
White-White,White,White,4.2626798770413155,3.044522437723423,1.9459101490553132,6.939253946041508,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,9.085457189829492,8.454794520547946,56.01,40,1,1,0.9284056418496698
White-White,White,White,0.0,0.6931471805599453,0.0,2.70805020110221,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,11.122930081265755,10.191780821917808,25.009999999999998,17.0,1,1,0.9196321471411436
White-White,White,White,2.772588722239781,2.4849066497880004,0.6931471805599453,0.6931471805599453,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,9.085457189829492,8.454794520547946,56.01,40,1,1,0.9284056418496698
White-White,White,White,0.0,0.0,0.0,0.0,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,8.699848026000312,12.389041095890411,45.01,40,1,1,0.9997778271495223
White-White,White,White,0.0,0.0,0.0,4.477336814478207,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,9.085457189829492,8.454794520547946,56.01,40,1,1,0.9284056418496698
White-White,White,White,1.9459101490553132,0.6931471805599453,0.0,4.07753744390572,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,9.085457189829492,8.454794520547946,56.01,40,1,1,0.9284056418496698
White-White,White,White,0.0,0.0,1.3862943611198906,2.833213344056216,0,0,2,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,9.085457189829492,8.454794520547946,56.01,40,1,1,0.9284056418496698
White-White,White,White,0.0,0.0,0.0,2.3978952727983707,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,9.085457189829492,8.454794520547946,56.01,40,1,1,0.9284056418496698
White-API,White,API,0.0,2.4849066497880004,1.0986122886681098,5.924255797414532,0,0,2,0,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,8.699848026000312,12.389041095890411,45.01,40,1,1,0.9997778271495223
White-White,White,White,0.0,1.3862943611198906,0.0,4.31748811353631,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,8.875985891325971,12.794520547945206,25.009999999999998,25.0,1,1,0.8796481407437026
White-White,White,White,4.477336814478207,1.6094379124341003,0.6931471805599453,5.424950017481403,0,1,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,9.085457189829492,8.454794520547946,56.01,40,1,1,0.9284056418496698
White-White,White,White,0.0,0.0,3.4011973816621555,5.652489180268651,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,8.875985891325971,12.794520547945206,25.009999999999998,25.0,1,1,0.8796481407437026
White-API,White,API,0.0,0.0,0.6931471805599453,2.6390573296152584,0,0,1,0,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,9.085457189829492,8.454794520547946,56.01,40,1,1,0.9284056418496698
White-White,White,White,2.5649493574615367,4.060443010546419,0.6931471805599453,3.295836866004329,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,5.666426688112432,7.542465753424658,1.01,0.0,1,1,0.9900990099009901
White-API,White,API,3.9889840465642745,0.0,0.6931471805599453,4.6443908991413725,1,0,2,0,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,9.085457189829492,8.454794520547946,56.01,40,1,1,0.9284056418496698
White-API,White,API,0.6931471805599453,0.0,0.6931471805599453,5.049856007249537,2,0,2,0,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,8.875985891325971,12.794520547945206,25.009999999999998,25.0,1,1,0.8796481407437026
White-White,White,White,0.0,0.0,2.4849066497880004,5.3230099791384085,1,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,8.875985891325971,12.794520547945206,25.009999999999998,25.0,1,1,0.8796481407437026
API-White,API,White,1.791759469228055,2.70805020110221,0.0,1.9459101490553132,0,1,1,0,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,6.042632833682381,11.282191780821918,60,0.0,0,1,0.8635055294652326
White-White,White,White,2.8903717578961645,0.0,2.5649493574615367,4.553876891600541,2,0,3,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,7.742402021815782,9.402739726027397,0.01,0.0,1,1,0.0
White-White,White,White,0.0,0.0,1.9459101490553132,2.6390573296152584,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,11.122930081265755,10.191780821917808,25.009999999999998,17.0,1,1,0.9196321471411436
White-White,White,White,0.0,0.6931471805599453,0.0,2.302585092994046,1,0,2,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,6.876264611890766,8.846575342465753,52.01,35.0,1,0,0.5768121515093252
API-White,API,White,2.772588722239781,0.0,0.0,0.6931471805599453,0,0,1,0,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,2.0794415416798357,3.9917808219178084,0.01,0.0,0,1,0.0
White-White,White,White,0.0,0.0,0.6931471805599453,4.605170185988092,0,0,2,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,11.122930081265755,10.191780821917808,25.009999999999998,17.0,1,1,0.9196321471411436
White-White,White,White,0.0,0.0,2.302585092994046,5.8664680569332965,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,11.122930081265755,10.191780821917808,25.009999999999998,17.0,1,1,0.9196321471411436
White-White,White,White,0.0,0.0,1.3862943611198906,3.9889840465642745,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,11.122930081265755,10.191780821917808,25.009999999999998,17.0,1,1,0.9196321471411436
White-White,White,White,4.962844630259907,3.8501476017100584,2.4849066497880004,6.220590170099739,0,1,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,7.742402021815782,9.402739726027397,0.01,0.0,1,1,0.0
White-White,White,White,0.0,0.0,0.0,2.302585092994046,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,8.699848026000312,12.389041095890411,45.01,40,1,1,0.9997778271495223
White-White,White,White,5.1298987149230735,4.330733340286331,2.70805020110221,4.962844630259907,3,5,5,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,3.1354942159291497,5.504109589041096,1.01,0.0,0,1,0.0
White-API,White,API,3.8501476017100584,0.0,1.9459101490553132,4.955827057601261,0,0,1,0,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,8.875985891325971,12.794520547945206,25.009999999999998,25.0,1,1,0.8796481407437026
White-White,White,White,3.367295829986474,0.0,0.0,3.6635616461296463,1,0,2,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,6.0014148779611505,6.241095890410959,32.01,1.0,0,1,0.781005935645111
White-White,White,White,1.9459101490553132,1.9459101490553132,1.0986122886681098,4.709530201312334,1,1,2,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,9.085457189829492,8.454794520547946,56.01,40,1,1,0.9284056418496698
White-White,White,White,0.6931471805599453,0.0,0.6931471805599453,2.70805020110221,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,7.742402021815782,9.402739726027397,0.01,0.0,1,1,0.0
White-White,White,White,0.0,0.0,1.0986122886681098,3.6109179126442243,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,8.699848026000312,12.389041095890411,45.01,40,1,1,0.9997778271495223
White-White,White,White,3.332204510175204,1.791759469228055,2.5649493574615367,5.730099782973574,3,0,4,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,11.122930081265755,10.191780821917808,25.009999999999998,17.0,1,1,0.9196321471411436
White-White,White,White,0.0,0.0,2.302585092994046,4.143134726391533,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,7.742402021815782,9.402739726027397,0.01,0.0,1,1,0.0
White-White,White,White,0.0,0.0,1.3862943611198906,4.795790545596741,0,0,2,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,7.742402021815782,9.402739726027397,0.01,0.0,1,1,0.0
White-White,White,White,1.0986122886681098,0.0,1.791759469228055,5.762051382780177,0,0,1,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,7.742402021815782,9.402739726027397,0.01,0.0,1,1,0.0
White-API,White,API,0.6931471805599453,0.0,2.995732273553991,7.313220387090301,1,0,3,0,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,11.122930081265755,10.191780821917808,25.009999999999998,17.0,1,1,0.9196321471411436
White-White,White,White,0.0,0.0,1.3862943611198906,2.70805020110221,1,0,2,1,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,8.875985891325971,12.794520547945206,25.009999999999998,25.0,1,1,0.8796481407437026
White-API,White,API,1.791759469228055,0.6931471805599453,0.6931471805599453,6.194405391104672,1,0,3,0,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,11.122930081265755,10.191780821917808,25.009999999999998,17.0,1,1,0.9196321471411436
White-API,White,API,4.736198448394496,0.0,1.0986122886681098,5.680172609017068,0,0,1,0,10,12.055860034653838,8.194520547945206,0.182235643186558,5.209486152841421,7.742402021815782,9.402739726027397,0.01,0.0,1,1,0.0
